pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
100,7,4696,1,4696,0.3477508650519031,0.5877192982456141,2.0466460122960113,0.0047570416090707375,6857,2161,98200,78195
100,7,6168,1,6168,0.41522491349480967,0.6629834254143646,1.749542515896485,0.003726520905449258,10019,3851,98200,78195
100,7,6611,1,6611,0.42387543252595156,0.6730769230769231,1.7243942138445643,0.003725157448271062,11099,4488,98200,78195
100,7,10000,1,10000,0.5190311418685121,0.6928406466512702,1.3006236615779805,0.0021981428273917685,22270,12270,98200,78195
100,7,15000,1,15000,0.657439446366782,0.8085106382978723,0.9454274401154633,0.0012622336326677148,48793,33793,98200,78195
100,7,20000,1,20000,0.7612456747404844,0.859375,0.6214859796018415,0.0004384343786810858,98137,78137,98200,78195
100,8,4696,1,4696,0.32006920415224915,0.5538922155688623,1.950642487893048,0.004561594851448533,6837,2141,99100,79099
100,8,6168,1,6168,0.3944636678200692,0.6212534059945504,1.6454523294555146,0.0031912345877411945,10113,3945,99100,79099
100,8,6611,1,6611,0.4031141868512111,0.6180371352785146,1.5894786955146565,0.003065923859980702,11258,4647,99100,79099
100,8,10000,1,10000,0.4913494809688581,0.6666666666666666,1.2555885018840363,0.001693274499903082,23399,13399,99100,79099
100,8,15000,1,15000,0.6453287197231834,0.7674897119341564,0.8686502099477675,0.0005799823746164903,50944,35944,99100,79099
100,8,20000,1,20000,0.7941176470588235,0.8709677419354839,0.5147064666466798,0.000270767686080659,99088,79088,99100,79099
100,9,4696,1,4696,0.35986159169550175,0.6208955223880597,2.0382200926376424,0.004663005200513935,6793,2097,95699,75699
100,9,6168,1,6168,0.4186851211072664,0.6436170212765957,1.7228117537085677,0.003059693441320817,9976,3808,95699,75699
100,9,6611,1,6611,0.4429065743944637,0.6684073107049608,1.6526781319115682,0.0022071708009071826,11101,4490,95699,75699
100,9,10000,1,10000,0.5432525951557093,0.7405660377358491,1.3321057101214935,0.0013367590849906676,22569,12569,95699,75699
100,9,15000,1,15000,0.6816608996539792,0.7991886409736308,0.902762416782743,0.00028181458837183977,49575,34575,95699,75699
